provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
7,1,0700100001,070010000100001,0700100001X,electores,202
7,1,0700100001,070010000100001,0700100001X,sobres,202
7,1,0700100001,070010000100001,0700100001X,nulos,15
7,1,0700100001,070010000100001,0700100001X,recurridos,0
7,1,0700100001,070010000100001,0700100001X,blancos,11
7,1,0700100001,070010000100001,0700100001X,impugnados,0
7,1,0700100001,070010000100001,0700100001X,totalVotos,202
7,1,0700100001,070010000100001,0700100001X,afirmativos,176
7,1,0700100001,070010000100001,0700100001X,abstencion,140
7,1,0700100001,070010000100001,0700100001X,valid,187
7,1,0700100001,070010000100001,0700100001X,135-3,35
7,1,0700100001,070010000100001,0700100001X,135-2,23
7,1,0700100001,070010000100001,0700100001X,135-1,7
7,1,0700100001,070010000100001,0700100001X,134-2,30
7,1,0700100001,070010000100001,0700100001X,134-1,7
7,1,0700100001,070010000100001,0700100001X,133-1,33
7,1,0700100001,070010000100001,0700100001X,136-2,16
7,1,0700100001,070010000100001,0700100001X,136-1,7
7,1,0700100001,070010000100001,0700100001X,132-1,18
7,1,0700100001,070010000100001,0700100002X,electores,0
7,1,0700100001,070010000100001,0700100002X,sobres,0
7,1,0700100001,070010000100001,0700100002X,nulos,0
7,1,0700100001,070010000100001,0700100002X,recurridos,0
7,1,0700100001,070010000100001,0700100002X,blancos,0
7,1,0700100001,070010000100001,0700100002X,impugnados,0
7,1,0700100001,070010000100001,0700100002X,totalVotos,0
7,1,0700100001,070010000100001,0700100002X,afirmativos,0
7,1,0700100001,070010000100001,0700100002X,abstencion,0
7,1,0700100001,070010000100001,0700100002X,valid,0
7,1,0700100001,070010000100001,0700100002X,132-1,0
7,1,0700100001,070010000100001,0700100002X,133-1,0
7,1,0700100001,070010000100001,0700100002X,134-1,0
7,1,0700100001,070010000100001,0700100002X,134-2,0
7,1,0700100001,070010000100001,0700100002X,135-3,0
7,1,0700100001,070010000100001,0700100002X,135-2,0
7,1,0700100001,070010000100001,0700100002X,135-1,0
7,1,0700100001,070010000100001,0700100002X,136-2,0
7,1,0700100001,070010000100001,0700100002X,136-1,0
7,1,0700100001,070010000100001,0700100003X,electores,216
7,1,0700100001,070010000100001,0700100003X,sobres,216
7,1,0700100001,070010000100001,0700100003X,nulos,11
7,1,0700100001,070010000100001,0700100003X,recurridos,0
7,1,0700100001,070010000100001,0700100003X,blancos,11
7,1,0700100001,070010000100001,0700100003X,impugnados,0
7,1,0700100001,070010000100001,0700100003X,totalVotos,216
7,1,0700100001,070010000100001,0700100003X,afirmativos,194
7,1,0700100001,070010000100001,0700100003X,abstencion,125
7,1,0700100001,070010000100001,0700100003X,valid,205
7,1,0700100001,070010000100001,0700100003X,135-3,33
7,1,0700100001,070010000100001,0700100003X,135-2,26
7,1,0700100001,070010000100001,0700100003X,135-1,9
7,1,0700100001,070010000100001,0700100003X,133-1,46
7,1,0700100001,070010000100001,0700100003X,134-2,28
7,1,0700100001,070010000100001,0700100003X,134-1,18
7,1,0700100001,070010000100001,0700100003X,136-1,16
7,1,0700100001,070010000100001,0700100003X,136-2,9
7,1,0700100001,070010000100001,0700100003X,132-1,9
7,1,0700100001,070010000100001,0700100004X,electores,217
7,1,0700100001,070010000100001,0700100004X,sobres,217
7,1,0700100001,070010000100001,0700100004X,nulos,12
7,1,0700100001,070010000100001,0700100004X,recurridos,0
7,1,0700100001,070010000100001,0700100004X,blancos,16
7,1,0700100001,070010000100001,0700100004X,impugnados,0
7,1,0700100001,070010000100001,0700100004X,totalVotos,217
7,1,0700100001,070010000100001,0700100004X,afirmativos,189
7,1,0700100001,070010000100001,0700100004X,abstencion,130
7,1,0700100001,070010000100001,0700100004X,valid,205
7,1,0700100001,070010000100001,0700100004X,135-3,42
7,1,0700100001,070010000100001,0700100004X,135-2,33
7,1,0700100001,070010000100001,0700100004X,135-1,11
7,1,0700100001,070010000100001,0700100004X,134-2,23
7,1,0700100001,070010000100001,0700100004X,134-1,14
7,1,0700100001,070010000100001,0700100004X,133-1,31
7,1,0700100001,070010000100001,0700100004X,132-1,18
7,1,0700100001,070010000100001,0700100004X,136-2,11
7,1,0700100001,070010000100001,0700100004X,136-1,6
7,1,0700100001,070010000100002,0700100005X,electores,217
7,1,0700100001,070010000100002,0700100005X,sobres,217
7,1,0700100001,070010000100002,0700100005X,nulos,10
7,1,0700100001,070010000100002,0700100005X,recurridos,0
7,1,0700100001,070010000100002,0700100005X,blancos,12
7,1,0700100001,070010000100002,0700100005X,impugnados,0
7,1,0700100001,070010000100002,0700100005X,totalVotos,217
7,1,0700100001,070010000100002,0700100005X,afirmativos,195
7,1,0700100001,070010000100002,0700100005X,abstencion,124
7,1,0700100001,070010000100002,0700100005X,valid,207
7,1,0700100001,070010000100002,0700100005X,135-3,39
7,1,0700100001,070010000100002,0700100005X,135-2,25
7,1,0700100001,070010000100002,0700100005X,135-1,17
7,1,0700100001,070010000100002,0700100005X,134-2,27
7,1,0700100001,070010000100002,0700100005X,134-1,16
7,1,0700100001,070010000100002,0700100005X,133-1,39
7,1,0700100001,070010000100002,0700100005X,136-2,9
7,1,0700100001,070010000100002,0700100005X,136-1,8
7,1,0700100001,070010000100002,0700100005X,132-1,15
7,1,0700100001,070010000100002,0700100006X,electores,222
7,1,0700100001,070010000100002,0700100006X,sobres,222
7,1,0700100001,070010000100002,0700100006X,nulos,16
7,1,0700100001,070010000100002,0700100006X,recurridos,0
7,1,0700100001,070010000100002,0700100006X,blancos,10
7,1,0700100001,070010000100002,0700100006X,impugnados,0
7,1,0700100001,070010000100002,0700100006X,totalVotos,222
7,1,0700100001,070010000100002,0700100006X,afirmativos,196
7,1,0700100001,070010000100002,0700100006X,abstencion,119
7,1,0700100001,070010000100002,0700100006X,valid,206
7,1,0700100001,070010000100002,0700100006X,135-3,31
7,1,0700100001,070010000100002,0700100006X,135-2,20
7,1,0700100001,070010000100002,0700100006X,135-1,7
7,1,0700100001,070010000100002,0700100006X,134-2,42
7,1,0700100001,070010000100002,0700100006X,134-1,13
7,1,0700100001,070010000100002,0700100006X,133-1,44
7,1,0700100001,070010000100002,0700100006X,132-1,23
7,1,0700100001,070010000100002,0700100006X,136-2,11
7,1,0700100001,070010000100002,0700100006X,136-1,5
7,1,0700100001,070010000100002,0700100007X,electores,205
7,1,0700100001,070010000100002,0700100007X,sobres,205
7,1,0700100001,070010000100002,0700100007X,nulos,16
7,1,0700100001,070010000100002,0700100007X,recurridos,0
7,1,0700100001,070010000100002,0700100007X,blancos,8
7,1,0700100001,070010000100002,0700100007X,impugnados,1
7,1,0700100001,070010000100002,0700100007X,totalVotos,205
7,1,0700100001,070010000100002,0700100007X,afirmativos,180
7,1,0700100001,070010000100002,0700100007X,abstencion,141
7,1,0700100001,070010000100002,0700100007X,valid,188
7,1,0700100001,070010000100002,0700100007X,135-3,38
7,1,0700100001,070010000100002,0700100007X,135-2,32
7,1,0700100001,070010000100002,0700100007X,135-1,12
7,1,0700100001,070010000100002,0700100007X,133-1,40
7,1,0700100001,070010000100002,0700100007X,134-2,22
7,1,0700100001,070010000100002,0700100007X,134-1,7
7,1,0700100001,070010000100002,0700100007X,136-2,10
7,1,0700100001,070010000100002,0700100007X,136-1,8
7,1,0700100001,070010000100002,0700100007X,132-1,11
7,1,0700100002,070010000200003,0700100008X,electores,209
7,1,0700100002,070010000200003,0700100008X,sobres,209
7,1,0700100002,070010000200003,0700100008X,nulos,0
7,1,0700100002,070010000200003,0700100008X,recurridos,0
7,1,0700100002,070010000200003,0700100008X,blancos,8
7,1,0700100002,070010000200003,0700100008X,impugnados,0
7,1,0700100002,070010000200003,0700100008X,totalVotos,199
7,1,0700100002,070010000200003,0700100008X,afirmativos,191
7,1,0700100002,070010000200003,0700100008X,abstencion,147
7,1,0700100002,070010000200003,0700100008X,valid,199
7,1,0700100002,070010000200003,0700100008X,135-3,39
7,1,0700100002,070010000200003,0700100008X,135-2,37
7,1,0700100002,070010000200003,0700100008X,135-1,10
7,1,0700100002,070010000200003,0700100008X,133-1,39
7,1,0700100002,070010000200003,0700100008X,134-2,17
7,1,0700100002,070010000200003,0700100008X,134-1,11
7,1,0700100002,070010000200003,0700100008X,136-2,13
7,1,0700100002,070010000200003,0700100008X,136-1,8
7,1,0700100002,070010000200003,0700100008X,132-1,17
7,1,0700100002,070010000200003,0700100009X,electores,224
7,1,0700100002,070010000200003,0700100009X,sobres,224
7,1,0700100002,070010000200003,0700100009X,nulos,11
7,1,0700100002,070010000200003,0700100009X,recurridos,0
7,1,0700100002,070010000200003,0700100009X,blancos,0
7,1,0700100002,070010000200003,0700100009X,impugnados,0
7,1,0700100002,070010000200003,0700100009X,totalVotos,212
7,1,0700100002,070010000200003,0700100009X,afirmativos,201
7,1,0700100002,070010000200003,0700100009X,abstencion,134
7,1,0700100002,070010000200003,0700100009X,valid,201
7,1,0700100002,070010000200003,0700100009X,135-3,48
7,1,0700100002,070010000200003,0700100009X,135-2,39
7,1,0700100002,070010000200003,0700100009X,135-1,8
7,1,0700100002,070010000200003,0700100009X,134-2,29
7,1,0700100002,070010000200003,0700100009X,134-1,12
7,1,0700100002,070010000200003,0700100009X,133-1,30
7,1,0700100002,070010000200003,0700100009X,132-1,18
7,1,0700100002,070010000200003,0700100009X,136-1,17
7,1,0700100002,070010000200003,0700100009X,136-2,0
7,1,0700100002,070010000200003,0700100010X,electores,211
7,1,0700100002,070010000200003,0700100010X,sobres,211
7,1,0700100002,070010000200003,0700100010X,nulos,0
7,1,0700100002,070010000200003,0700100010X,recurridos,0
7,1,0700100002,070010000200003,0700100010X,blancos,0
7,1,0700100002,070010000200003,0700100010X,impugnados,0
7,1,0700100002,070010000200003,0700100010X,totalVotos,189
7,1,0700100002,070010000200003,0700100010X,afirmativos,189
7,1,0700100002,070010000200003,0700100010X,abstencion,157
7,1,0700100002,070010000200003,0700100010X,valid,189
7,1,0700100002,070010000200003,0700100010X,135-3,49
7,1,0700100002,070010000200003,0700100010X,135-2,31
7,1,0700100002,070010000200003,0700100010X,135-1,12
7,1,0700100002,070010000200003,0700100010X,133-1,31
7,1,0700100002,070010000200003,0700100010X,134-2,19
7,1,0700100002,070010000200003,0700100010X,134-1,8
7,1,0700100002,070010000200003,0700100010X,132-1,22
7,1,0700100002,070010000200003,0700100010X,136-2,9
7,1,0700100002,070010000200003,0700100010X,136-1,8
7,1,0700100002,070010000200003,0700100011X,electores,211
7,1,0700100002,070010000200003,0700100011X,sobres,211
7,1,0700100002,070010000200003,0700100011X,nulos,11
7,1,0700100002,070010000200003,0700100011X,recurridos,0
7,1,0700100002,070010000200003,0700100011X,blancos,11
7,1,0700100002,070010000200003,0700100011X,impugnados,0
7,1,0700100002,070010000200003,0700100011X,totalVotos,211
7,1,0700100002,070010000200003,0700100011X,afirmativos,189
7,1,0700100002,070010000200003,0700100011X,abstencion,134
7,1,0700100002,070010000200003,0700100011X,valid,200
7,1,0700100002,070010000200003,0700100011X,135-2,43
7,1,0700100002,070010000200003,0700100011X,135-3,34
7,1,0700100002,070010000200003,0700100011X,135-1,11
7,1,0700100002,070010000200003,0700100011X,133-1,32
7,1,0700100002,070010000200003,0700100011X,134-1,16
7,1,0700100002,070010000200003,0700100011X,134-2,15
7,1,0700100002,070010000200003,0700100011X,136-2,13
7,1,0700100002,070010000200003,0700100011X,136-1,9
7,1,0700100002,070010000200003,0700100011X,132-1,16
7,1,0700100002,070010000200003,0700100012X,electores,207
7,1,0700100002,070010000200003,0700100012X,sobres,207
7,1,0700100002,070010000200003,0700100012X,nulos,23
7,1,0700100002,070010000200003,0700100012X,recurridos,0
7,1,0700100002,070010000200003,0700100012X,blancos,6
7,1,0700100002,070010000200003,0700100012X,impugnados,0
7,1,0700100002,070010000200003,0700100012X,totalVotos,207
7,1,0700100002,070010000200003,0700100012X,afirmativos,178
7,1,0700100002,070010000200003,0700100012X,abstencion,139
7,1,0700100002,070010000200003,0700100012X,valid,184
7,1,0700100002,070010000200003,0700100012X,135-3,44
7,1,0700100002,070010000200003,0700100012X,135-2,33
7,1,0700100002,070010000200003,0700100012X,135-1,10
7,1,0700100002,070010000200003,0700100012X,134-2,21
7,1,0700100002,070010000200003,0700100012X,134-1,12
7,1,0700100002,070010000200003,0700100012X,133-1,23
7,1,0700100002,070010000200003,0700100012X,132-1,18
7,1,0700100002,070010000200003,0700100012X,136-2,10
7,1,0700100002,070010000200003,0700100012X,136-1,7
7,1,0700100002,070010000200003,0700100013X,electores,217
7,1,0700100002,070010000200003,0700100013X,sobres,216
7,1,0700100002,070010000200003,0700100013X,nulos,20
7,1,0700100002,070010000200003,0700100013X,recurridos,0
7,1,0700100002,070010000200003,0700100013X,blancos,13
7,1,0700100002,070010000200003,0700100013X,impugnados,0
7,1,0700100002,070010000200003,0700100013X,totalVotos,216
7,1,0700100002,070010000200003,0700100013X,afirmativos,183
7,1,0700100002,070010000200003,0700100013X,abstencion,130
7,1,0700100002,070010000200003,0700100013X,valid,196
7,1,0700100002,070010000200003,0700100013X,135-3,38
7,1,0700100002,070010000200003,0700100013X,135-2,34
7,1,0700100002,070010000200003,0700100013X,135-1,8
7,1,0700100002,070010000200003,0700100013X,134-2,18
7,1,0700100002,070010000200003,0700100013X,134-1,12
7,1,0700100002,070010000200003,0700100013X,136-1,15
7,1,0700100002,070010000200003,0700100013X,136-2,10
7,1,0700100002,070010000200003,0700100013X,132-1,25
7,1,0700100002,070010000200003,0700100013X,133-1,23
7,1,0700100002,070010000200004,0700100014X,electores,213
7,1,0700100002,070010000200004,0700100014X,sobres,213
7,1,0700100002,070010000200004,0700100014X,nulos,17
7,1,0700100002,070010000200004,0700100014X,recurridos,0
7,1,0700100002,070010000200004,0700100014X,blancos,9
7,1,0700100002,070010000200004,0700100014X,impugnados,0
7,1,0700100002,070010000200004,0700100014X,totalVotos,213
7,1,0700100002,070010000200004,0700100014X,afirmativos,187
7,1,0700100002,070010000200004,0700100014X,abstencion,131
7,1,0700100002,070010000200004,0700100014X,valid,196
7,1,0700100002,070010000200004,0700100014X,135-3,47
7,1,0700100002,070010000200004,0700100014X,135-2,35
7,1,0700100002,070010000200004,0700100014X,135-1,7
7,1,0700100002,070010000200004,0700100014X,133-1,34
7,1,0700100002,070010000200004,0700100014X,136-2,19
7,1,0700100002,070010000200004,0700100014X,136-1,12
7,1,0700100002,070010000200004,0700100014X,134-1,9
7,1,0700100002,070010000200004,0700100014X,134-2,8
7,1,0700100002,070010000200004,0700100014X,132-1,16
7,1,0700100002,070010000200004,0700100015X,electores,214
7,1,0700100002,070010000200004,0700100015X,sobres,214
7,1,0700100002,070010000200004,0700100015X,nulos,18
7,1,0700100002,070010000200004,0700100015X,recurridos,0
7,1,0700100002,070010000200004,0700100015X,blancos,10
7,1,0700100002,070010000200004,0700100015X,impugnados,0
7,1,0700100002,070010000200004,0700100015X,totalVotos,214
7,1,0700100002,070010000200004,0700100015X,afirmativos,186
7,1,0700100002,070010000200004,0700100015X,abstencion,132
7,1,0700100002,070010000200004,0700100015X,valid,196
7,1,0700100002,070010000200004,0700100015X,135-3,39
7,1,0700100002,070010000200004,0700100015X,135-2,38
7,1,0700100002,070010000200004,0700100015X,135-1,8
7,1,0700100002,070010000200004,0700100015X,133-1,48
7,1,0700100002,070010000200004,0700100015X,134-2,17
7,1,0700100002,070010000200004,0700100015X,134-1,4
7,1,0700100002,070010000200004,0700100015X,136-1,11
7,1,0700100002,070010000200004,0700100015X,136-2,7
7,1,0700100002,070010000200004,0700100015X,132-1,14
7,1,0700100002,070010000200004,0700100016X,electores,210
7,1,0700100002,070010000200004,0700100016X,sobres,210
7,1,0700100002,070010000200004,0700100016X,nulos,15
7,1,0700100002,070010000200004,0700100016X,recurridos,0
7,1,0700100002,070010000200004,0700100016X,blancos,3
7,1,0700100002,070010000200004,0700100016X,impugnados,0
7,1,0700100002,070010000200004,0700100016X,totalVotos,205
7,1,0700100002,070010000200004,0700100016X,afirmativos,187
7,1,0700100002,070010000200004,0700100016X,abstencion,141
7,1,0700100002,070010000200004,0700100016X,valid,190
7,1,0700100002,070010000200004,0700100016X,135-3,41
7,1,0700100002,070010000200004,0700100016X,135-2,34
7,1,0700100002,070010000200004,0700100016X,135-1,13
7,1,0700100002,070010000200004,0700100016X,134-2,23
7,1,0700100002,070010000200004,0700100016X,134-1,14
7,1,0700100002,070010000200004,0700100016X,133-1,30
7,1,0700100002,070010000200004,0700100016X,136-2,12
7,1,0700100002,070010000200004,0700100016X,136-1,5
7,1,0700100002,070010000200004,0700100016X,132-1,15
7,1,0700100002,070010000200004,0700100017X,electores,205
7,1,0700100002,070010000200004,0700100017X,sobres,205
7,1,0700100002,070010000200004,0700100017X,nulos,19
7,1,0700100002,070010000200004,0700100017X,recurridos,0
7,1,0700100002,070010000200004,0700100017X,blancos,4
7,1,0700100002,070010000200004,0700100017X,impugnados,0
7,1,0700100002,070010000200004,0700100017X,totalVotos,205
7,1,0700100002,070010000200004,0700100017X,afirmativos,182
7,1,0700100002,070010000200004,0700100017X,abstencion,141
7,1,0700100002,070010000200004,0700100017X,valid,186
7,1,0700100002,070010000200004,0700100017X,135-2,41
7,1,0700100002,070010000200004,0700100017X,135-3,36
