provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
6,1,0600100001,060010000100001,0600100001X,electores,235
6,1,0600100001,060010000100001,0600100001X,sobres,235
6,1,0600100001,060010000100001,0600100001X,nulos,0
6,1,0600100001,060010000100001,0600100001X,recurridos,0
6,1,0600100001,060010000100001,0600100001X,blancos,12
6,1,0600100001,060010000100001,0600100001X,impugnados,0
6,1,0600100001,060010000100001,0600100001X,totalVotos,235
6,1,0600100001,060010000100001,0600100001X,afirmativos,223
6,1,0600100001,060010000100001,0600100001X,abstencion,109
6,1,0600100001,060010000100001,0600100001X,valid,235
6,1,0600100001,060010000100001,0600100001X,126-3,124
6,1,0600100001,060010000100001,0600100001X,126-1,23
6,1,0600100001,060010000100001,0600100001X,126-2,15
6,1,0600100001,060010000100001,0600100001X,125-1,28
6,1,0600100001,060010000100001,0600100001X,125-4,3
6,1,0600100001,060010000100001,0600100001X,125-3,1
6,1,0600100001,060010000100001,0600100001X,125-5,1
6,1,0600100001,060010000100001,0600100001X,125-8,1
6,1,0600100001,060010000100001,0600100001X,124-1,20
6,1,0600100001,060010000100001,0600100001X,122-1,2
6,1,0600100001,060010000100001,0600100001X,120-1,2
6,1,0600100001,060010000100001,0600100001X,127-1,2
6,1,0600100001,060010000100001,0600100001X,123-1,1
6,1,0600100001,060010000100001,0600100001X,121-1,0
6,1,0600100001,060010000100001,0600100002X,electores,220
6,1,0600100001,060010000100001,0600100002X,sobres,220
6,1,0600100001,060010000100001,0600100002X,nulos,3
6,1,0600100001,060010000100001,0600100002X,recurridos,0
6,1,0600100001,060010000100001,0600100002X,blancos,9
6,1,0600100001,060010000100001,0600100002X,impugnados,0
6,1,0600100001,060010000100001,0600100002X,totalVotos,220
6,1,0600100001,060010000100001,0600100002X,afirmativos,208
6,1,0600100001,060010000100001,0600100002X,abstencion,124
6,1,0600100001,060010000100001,0600100002X,valid,217
6,1,0600100001,060010000100001,0600100002X,126-3,104
6,1,0600100001,060010000100001,0600100002X,126-1,28
6,1,0600100001,060010000100001,0600100002X,126-2,17
6,1,0600100001,060010000100001,0600100002X,125-1,31
6,1,0600100001,060010000100001,0600100002X,125-4,1
6,1,0600100001,060010000100001,0600100002X,125-3,0
6,1,0600100001,060010000100001,0600100002X,125-5,0
6,1,0600100001,060010000100001,0600100002X,125-8,0
6,1,0600100001,060010000100001,0600100002X,124-1,18
6,1,0600100001,060010000100001,0600100002X,122-1,6
6,1,0600100001,060010000100001,0600100002X,120-1,3
6,1,0600100001,060010000100001,0600100002X,123-1,0
6,1,0600100001,060010000100001,0600100002X,121-1,0
6,1,0600100001,060010000100001,0600100002X,127-1,0
6,1,0600100001,060010000100001,0600100003X,electores,226
6,1,0600100001,060010000100001,0600100003X,sobres,226
6,1,0600100001,060010000100001,0600100003X,nulos,4
6,1,0600100001,060010000100001,0600100003X,recurridos,0
6,1,0600100001,060010000100001,0600100003X,blancos,11
6,1,0600100001,060010000100001,0600100003X,impugnados,0
6,1,0600100001,060010000100001,0600100003X,totalVotos,226
6,1,0600100001,060010000100001,0600100003X,afirmativos,211
6,1,0600100001,060010000100001,0600100003X,abstencion,116
6,1,0600100001,060010000100001,0600100003X,valid,222
6,1,0600100001,060010000100001,0600100003X,126-3,119
6,1,0600100001,060010000100001,0600100003X,126-1,15
6,1,0600100001,060010000100001,0600100003X,126-2,13
6,1,0600100001,060010000100001,0600100003X,125-1,32
6,1,0600100001,060010000100001,0600100003X,125-3,1
6,1,0600100001,060010000100001,0600100003X,125-5,1
6,1,0600100001,060010000100001,0600100003X,125-4,0
6,1,0600100001,060010000100001,0600100003X,125-8,0
6,1,0600100001,060010000100001,0600100003X,124-1,19
6,1,0600100001,060010000100001,0600100003X,120-1,5
6,1,0600100001,060010000100001,0600100003X,122-1,2
6,1,0600100001,060010000100001,0600100003X,127-1,2
6,1,0600100001,060010000100001,0600100003X,123-1,1
6,1,0600100001,060010000100001,0600100003X,121-1,1
