provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
5,1,0500100001,050010000100001,0500100001X,electores,231
5,1,0500100001,050010000100001,0500100001X,sobres,231
5,1,0500100001,050010000100001,0500100001X,nulos,5
5,1,0500100001,050010000100001,0500100001X,recurridos,0
5,1,0500100001,050010000100001,0500100001X,blancos,14
5,1,0500100001,050010000100001,0500100001X,impugnados,0
5,1,0500100001,050010000100001,0500100001X,totalVotos,236
5,1,0500100001,050010000100001,0500100001X,afirmativos,217
5,1,0500100001,050010000100001,0500100001X,abstencion,115
5,1,0500100001,050010000100001,0500100001X,valid,231
5,1,0500100001,050010000100001,0500100001X,118-3,105
5,1,0500100001,050010000100001,0500100001X,118-1,33
5,1,0500100001,050010000100001,0500100001X,118-2,33
5,1,0500100001,050010000100001,0500100001X,117-1,30
5,1,0500100001,050010000100001,0500100001X,117-2,10
5,1,0500100001,050010000100001,0500100001X,116-1,5
5,1,0500100001,050010000100001,0500100001X,119-2,1
5,1,0500100001,050010000100001,0500100001X,119-1,0
5,1,0500100001,050010000100001,0500100002X,electores,245
5,1,0500100001,050010000100001,0500100002X,sobres,245
5,1,0500100001,050010000100001,0500100002X,nulos,3
5,1,0500100001,050010000100001,0500100002X,recurridos,0
5,1,0500100001,050010000100001,0500100002X,blancos,8
5,1,0500100001,050010000100001,0500100002X,impugnados,0
5,1,0500100001,050010000100001,0500100002X,totalVotos,245
5,1,0500100001,050010000100001,0500100002X,afirmativos,234
5,1,0500100001,050010000100001,0500100002X,abstencion,105
5,1,0500100001,050010000100001,0500100002X,valid,242
5,1,0500100001,050010000100001,0500100002X,118-3,108
5,1,0500100001,050010000100001,0500100002X,118-1,44
5,1,0500100001,050010000100001,0500100002X,118-2,34
5,1,0500100001,050010000100001,0500100002X,117-1,19
5,1,0500100001,050010000100001,0500100002X,117-2,15
5,1,0500100001,050010000100001,0500100002X,116-1,7
5,1,0500100001,050010000100001,0500100002X,119-2,5
5,1,0500100001,050010000100001,0500100002X,119-1,2
5,1,0500100001,050010000100001,0500100003X,electores,234
5,1,0500100001,050010000100001,0500100003X,sobres,234
5,1,0500100001,050010000100001,0500100003X,nulos,6
5,1,0500100001,050010000100001,0500100003X,recurridos,0
5,1,0500100001,050010000100001,0500100003X,blancos,2
5,1,0500100001,050010000100001,0500100003X,impugnados,0
5,1,0500100001,050010000100001,0500100003X,totalVotos,202
5,1,0500100001,050010000100001,0500100003X,afirmativos,194
5,1,0500100001,050010000100001,0500100003X,abstencion,148
5,1,0500100001,050010000100001,0500100003X,valid,196
5,1,0500100001,050010000100001,0500100003X,118-3,121
5,1,0500100001,050010000100001,0500100003X,118-1,30
5,1,0500100001,050010000100001,0500100003X,118-2,0
5,1,0500100001,050010000100001,0500100003X,117-1,26
5,1,0500100001,050010000100001,0500100003X,117-2,7
5,1,0500100001,050010000100001,0500100003X,116-1,5
5,1,0500100001,050010000100001,0500100003X,119-1,4
5,1,0500100001,050010000100001,0500100003X,119-2,1
5,1,0500100001,050010000100001,0500100004X,electores,225
5,1,0500100001,050010000100001,0500100004X,sobres,225
5,1,0500100001,050010000100001,0500100004X,nulos,4
5,1,0500100001,050010000100001,0500100004X,recurridos,0
5,1,0500100001,050010000100001,0500100004X,blancos,6
5,1,0500100001,050010000100001,0500100004X,impugnados,0
5,1,0500100001,050010000100001,0500100004X,totalVotos,225
5,1,0500100001,050010000100001,0500100004X,afirmativos,215
5,1,0500100001,050010000100001,0500100004X,abstencion,125
5,1,0500100001,050010000100001,0500100004X,valid,221
5,1,0500100001,050010000100001,0500100004X,118-3,102
5,1,0500100001,050010000100001,0500100004X,118-2,45
5,1,0500100001,050010000100001,0500100004X,118-1,29
5,1,0500100001,050010000100001,0500100004X,117-1,23
5,1,0500100001,050010000100001,0500100004X,117-2,5
5,1,0500100001,050010000100001,0500100004X,119-2,6
5,1,0500100001,050010000100001,0500100004X,119-1,0
5,1,0500100001,050010000100001,0500100004X,116-1,5
5,1,0500100001,050010000100001,0500100005X,electores,238
5,1,0500100001,050010000100001,0500100005X,sobres,238
5,1,0500100001,050010000100001,0500100005X,nulos,7
5,1,0500100001,050010000100001,0500100005X,recurridos,0
5,1,0500100001,050010000100001,0500100005X,blancos,5
5,1,0500100001,050010000100001,0500100005X,impugnados,0
5,1,0500100001,050010000100001,0500100005X,totalVotos,238
5,1,0500100001,050010000100001,0500100005X,afirmativos,226
5,1,0500100001,050010000100001,0500100005X,abstencion,112
5,1,0500100001,050010000100001,0500100005X,valid,231
5,1,0500100001,050010000100001,0500100005X,118-3,116
5,1,0500100001,050010000100001,0500100005X,118-1,44
5,1,0500100001,050010000100001,0500100005X,118-2,30
5,1,0500100001,050010000100001,0500100005X,117-1,20
5,1,0500100001,050010000100001,0500100005X,117-2,5
5,1,0500100001,050010000100001,0500100005X,119-2,6
5,1,0500100001,050010000100001,0500100005X,119-1,2
5,1,0500100001,050010000100001,0500100005X,116-1,3
5,1,0500100001,050010000100001,0500100006X,electores,0
5,1,0500100001,050010000100001,0500100006X,sobres,0
5,1,0500100001,050010000100001,0500100006X,nulos,5
5,1,0500100001,050010000100001,0500100006X,recurridos,0
5,1,0500100001,050010000100001,0500100006X,blancos,9
5,1,0500100001,050010000100001,0500100006X,impugnados,0
5,1,0500100001,050010000100001,0500100006X,totalVotos,238
5,1,0500100001,050010000100001,0500100006X,afirmativos,224
5,1,0500100001,050010000100001,0500100006X,abstencion,113
5,1,0500100001,050010000100001,0500100006X,valid,233
5,1,0500100001,050010000100001,0500100006X,118-3,113
5,1,0500100001,050010000100001,0500100006X,118-1,42
5,1,0500100001,050010000100001,0500100006X,118-2,33
5,1,0500100001,050010000100001,0500100006X,117-1,22
5,1,0500100001,050010000100001,0500100006X,117-2,8
5,1,0500100001,050010000100001,0500100006X,116-1,3
5,1,0500100001,050010000100001,0500100006X,119-2,2
5,1,0500100001,050010000100001,0500100006X,119-1,1
5,1,0500100001,050010000100001,0500100007X,electores,0
5,1,0500100001,050010000100001,0500100007X,sobres,0
5,1,0500100001,050010000100001,0500100007X,nulos,0
5,1,0500100001,050010000100001,0500100007X,recurridos,0
5,1,0500100001,050010000100001,0500100007X,blancos,5
5,1,0500100001,050010000100001,0500100007X,impugnados,0
5,1,0500100001,050010000100001,0500100007X,totalVotos,230
5,1,0500100001,050010000100001,0500100007X,afirmativos,225
5,1,0500100001,050010000100001,0500100007X,abstencion,120
5,1,0500100001,050010000100001,0500100007X,valid,230
5,1,0500100001,050010000100001,0500100007X,118-3,123
5,1,0500100001,050010000100001,0500100007X,118-1,38
5,1,0500100001,050010000100001,0500100007X,118-2,27
5,1,0500100001,050010000100001,0500100007X,117-1,26
5,1,0500100001,050010000100001,0500100007X,117-2,6
5,1,0500100001,050010000100001,0500100007X,116-1,3
5,1,0500100001,050010000100001,0500100007X,119-2,2
5,1,0500100001,050010000100001,0500100007X,119-1,0
5,1,0500100001,050010000100001,0500100008X,electores,243
5,1,0500100001,050010000100001,0500100008X,sobres,243
5,1,0500100001,050010000100001,0500100008X,nulos,4
5,1,0500100001,050010000100001,0500100008X,recurridos,0
