provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
9,1,0900100001,090010000100001,0900100001X,electores,258
9,1,0900100001,090010000100001,0900100001X,sobres,258
9,1,0900100001,090010000100001,0900100001X,nulos,6
9,1,0900100001,090010000100001,0900100001X,recurridos,0
9,1,0900100001,090010000100001,0900100001X,blancos,3
9,1,0900100001,090010000100001,0900100001X,impugnados,0
9,1,0900100001,090010000100001,0900100001X,totalVotos,258
9,1,0900100001,090010000100001,0900100001X,afirmativos,249
9,1,0900100001,090010000100001,0900100001X,abstencion,91
9,1,0900100001,090010000100001,0900100001X,valid,252
9,1,0900100001,090010000100001,0900100001X,145-1,90
9,1,0900100001,090010000100001,0900100001X,146-1,89
9,1,0900100001,090010000100001,0900100001X,147-1,63
9,1,0900100001,090010000100001,0900100001X,144-1,7
9,1,0900100001,090010000100001,0900100002X,electores,237
9,1,0900100001,090010000100001,0900100002X,sobres,237
9,1,0900100001,090010000100001,0900100002X,nulos,2
9,1,0900100001,090010000100001,0900100002X,recurridos,0
9,1,0900100001,090010000100001,0900100002X,blancos,4
9,1,0900100001,090010000100001,0900100002X,impugnados,0
9,1,0900100001,090010000100001,0900100002X,totalVotos,237
9,1,0900100001,090010000100001,0900100002X,afirmativos,231
9,1,0900100001,090010000100001,0900100002X,abstencion,112
9,1,0900100001,090010000100001,0900100002X,valid,235
9,1,0900100001,090010000100001,0900100002X,146-1,90
9,1,0900100001,090010000100001,0900100002X,145-1,77
9,1,0900100001,090010000100001,0900100002X,147-1,56
9,1,0900100001,090010000100001,0900100002X,144-1,8
9,1,0900100001,090010000100001,0900100003X,electores,247
9,1,0900100001,090010000100001,0900100003X,sobres,247
9,1,0900100001,090010000100001,0900100003X,nulos,5
9,1,0900100001,090010000100001,0900100003X,recurridos,0
9,1,0900100001,090010000100001,0900100003X,blancos,0
9,1,0900100001,090010000100001,0900100003X,impugnados,0
9,1,0900100001,090010000100001,0900100003X,totalVotos,247
9,1,0900100001,090010000100001,0900100003X,afirmativos,242
9,1,0900100001,090010000100001,0900100003X,abstencion,102
9,1,0900100001,090010000100001,0900100003X,valid,242
9,1,0900100001,090010000100001,0900100003X,146-1,98
9,1,0900100001,090010000100001,0900100003X,145-1,85
9,1,0900100001,090010000100001,0900100003X,147-1,55
9,1,0900100001,090010000100001,0900100003X,144-1,4
9,1,0900100001,090010000100001,0900100004X,electores,249
9,1,0900100001,090010000100001,0900100004X,sobres,249
9,1,0900100001,090010000100001,0900100004X,nulos,2
9,1,0900100001,090010000100001,0900100004X,recurridos,1
9,1,0900100001,090010000100001,0900100004X,blancos,3
9,1,0900100001,090010000100001,0900100004X,impugnados,0
9,1,0900100001,090010000100001,0900100004X,totalVotos,249
9,1,0900100001,090010000100001,0900100004X,afirmativos,243
9,1,0900100001,090010000100001,0900100004X,abstencion,100
9,1,0900100001,090010000100001,0900100004X,valid,246
9,1,0900100001,090010000100001,0900100004X,146-1,102
9,1,0900100001,090010000100001,0900100004X,145-1,82
9,1,0900100001,090010000100001,0900100004X,147-1,56
9,1,0900100001,090010000100001,0900100004X,144-1,3
9,1,0900100001,090010000100001,0900100005X,electores,238
9,1,0900100001,090010000100001,0900100005X,sobres,238
9,1,0900100001,090010000100001,0900100005X,nulos,5
9,1,0900100001,090010000100001,0900100005X,recurridos,0
9,1,0900100001,090010000100001,0900100005X,blancos,2
9,1,0900100001,090010000100001,0900100005X,impugnados,0
9,1,0900100001,090010000100001,0900100005X,totalVotos,238
9,1,0900100001,090010000100001,0900100005X,afirmativos,231
9,1,0900100001,090010000100001,0900100005X,abstencion,111
9,1,0900100001,090010000100001,0900100005X,valid,233
9,1,0900100001,090010000100001,0900100005X,146-1,91
9,1,0900100001,090010000100001,0900100005X,145-1,71
9,1,0900100001,090010000100001,0900100005X,147-1,65
9,1,0900100001,090010000100001,0900100005X,144-1,4
9,1,0900100001,090010000100001,0900100006X,electores,261
9,1,0900100001,090010000100001,0900100006X,sobres,261
9,1,0900100001,090010000100001,0900100006X,nulos,2
9,1,0900100001,090010000100001,0900100006X,recurridos,0
9,1,0900100001,090010000100001,0900100006X,blancos,2
9,1,0900100001,090010000100001,0900100006X,impugnados,0
9,1,0900100001,090010000100001,0900100006X,totalVotos,261
9,1,0900100001,090010000100001,0900100006X,afirmativos,257
9,1,0900100001,090010000100001,0900100006X,abstencion,88
9,1,0900100001,090010000100001,0900100006X,valid,259
9,1,0900100001,090010000100001,0900100006X,146-1,109
9,1,0900100001,090010000100001,0900100006X,145-1,88
9,1,0900100001,090010000100001,0900100006X,147-1,55
9,1,0900100001,090010000100001,0900100006X,144-1,5
9,1,0900100001,090010000100001,0900100007X,electores,234
9,1,0900100001,090010000100001,0900100007X,sobres,234
9,1,0900100001,090010000100001,0900100007X,nulos,3
9,1,0900100001,090010000100001,0900100007X,recurridos,0
9,1,0900100001,090010000100001,0900100007X,blancos,1
9,1,0900100001,090010000100001,0900100007X,impugnados,0
9,1,0900100001,090010000100001,0900100007X,totalVotos,234
9,1,0900100001,090010000100001,0900100007X,afirmativos,230
9,1,0900100001,090010000100001,0900100007X,abstencion,115
9,1,0900100001,090010000100001,0900100007X,valid,231
9,1,0900100001,090010000100001,0900100007X,146-1,101
9,1,0900100001,090010000100001,0900100007X,145-1,68
9,1,0900100001,090010000100001,0900100007X,147-1,58
9,1,0900100001,090010000100001,0900100007X,144-1,3
9,1,0900100001,090010000100001,0900100008X,electores,266
9,1,0900100001,090010000100001,0900100008X,sobres,266
9,1,0900100001,090010000100001,0900100008X,nulos,4
9,1,0900100001,090010000100001,0900100008X,recurridos,0
9,1,0900100001,090010000100001,0900100008X,blancos,1
9,1,0900100001,090010000100001,0900100008X,impugnados,0
9,1,0900100001,090010000100001,0900100008X,totalVotos,266
9,1,0900100001,090010000100001,0900100008X,afirmativos,261
9,1,0900100001,090010000100001,0900100008X,abstencion,83
9,1,0900100001,090010000100001,0900100008X,valid,262
9,1,0900100001,090010000100001,0900100008X,146-1,113
9,1,0900100001,090010000100001,0900100008X,145-1,80
9,1,0900100001,090010000100001,0900100008X,147-1,60
9,1,0900100001,090010000100001,0900100008X,144-1,8
9,1,0900100001,090010000100002,0900100009X,electores,234
9,1,0900100001,090010000100002,0900100009X,sobres,234
9,1,0900100001,090010000100002,0900100009X,nulos,2
9,1,0900100001,090010000100002,0900100009X,recurridos,0
9,1,0900100001,090010000100002,0900100009X,blancos,3
9,1,0900100001,090010000100002,0900100009X,impugnados,0
9,1,0900100001,090010000100002,0900100009X,totalVotos,234
9,1,0900100001,090010000100002,0900100009X,afirmativos,229
9,1,0900100001,090010000100002,0900100009X,abstencion,115
9,1,0900100001,090010000100002,0900100009X,valid,232
9,1,0900100001,090010000100002,0900100009X,146-1,100
9,1,0900100001,090010000100002,0900100009X,145-1,76
9,1,0900100001,090010000100002,0900100009X,147-1,52
9,1,0900100001,090010000100002,0900100009X,144-1,1
9,1,0900100001,090010000100002,0900100010X,electores,254
9,1,0900100001,090010000100002,0900100010X,sobres,254
9,1,0900100001,090010000100002,0900100010X,nulos,5
9,1,0900100001,090010000100002,0900100010X,recurridos,0
9,1,0900100001,090010000100002,0900100010X,blancos,4
