provincia,municipio,circuito,escuela,mesa,codigo_lista,votos
11,1,1100100001,110010000100001,1100100001X,electores,206
11,1,1100100001,110010000100001,1100100001X,sobres,206
11,1,1100100001,110010000100001,1100100001X,nulos,14
11,1,1100100001,110010000100001,1100100001X,recurridos,0
11,1,1100100001,110010000100001,1100100001X,blancos,8
11,1,1100100001,110010000100001,1100100001X,impugnados,0
11,1,1100100001,110010000100001,1100100001X,totalVotos,206
11,1,1100100001,110010000100001,1100100001X,afirmativos,184
11,1,1100100001,110010000100001,1100100001X,abstencion,106
11,1,1100100001,110010000100001,1100100001X,valid,192
11,1,1100100001,110010000100001,1100100001X,154-5,61
11,1,1100100001,110010000100001,1100100001X,154-1,41
11,1,1100100001,110010000100001,1100100001X,154-3,16
11,1,1100100001,110010000100001,1100100001X,154-2,5
11,1,1100100001,110010000100001,1100100001X,154-4,3
11,1,1100100001,110010000100001,1100100001X,153-1,47
11,1,1100100001,110010000100001,1100100001X,155-1,4
11,1,1100100001,110010000100001,1100100001X,155-2,4
11,1,1100100001,110010000100001,1100100001X,152-1,3
11,1,1100100001,110010000100001,1100100001X,151-1,0
11,1,1100100001,110010000100001,1100100002X,electores,212
11,1,1100100001,110010000100001,1100100002X,sobres,212
11,1,1100100001,110010000100001,1100100002X,nulos,0
11,1,1100100001,110010000100001,1100100002X,recurridos,0
11,1,1100100001,110010000100001,1100100002X,blancos,0
11,1,1100100001,110010000100001,1100100002X,impugnados,0
11,1,1100100001,110010000100001,1100100002X,totalVotos,192
11,1,1100100001,110010000100001,1100100002X,afirmativos,192
11,1,1100100001,110010000100001,1100100002X,abstencion,120
11,1,1100100001,110010000100001,1100100002X,valid,192
11,1,1100100001,110010000100001,1100100002X,154-5,68
11,1,1100100001,110010000100001,1100100002X,154-1,35
11,1,1100100001,110010000100001,1100100002X,154-3,16
11,1,1100100001,110010000100001,1100100002X,154-2,6
11,1,1100100001,110010000100001,1100100002X,154-4,4
11,1,1100100001,110010000100001,1100100002X,153-1,51
11,1,1100100001,110010000100001,1100100002X,155-1,5
11,1,1100100001,110010000100001,1100100002X,155-2,1
11,1,1100100001,110010000100001,1100100002X,151-1,4
11,1,1100100001,110010000100001,1100100002X,152-1,2
11,1,1100100001,110010000100001,1100100003X,electores,0
11,1,1100100001,110010000100001,1100100003X,sobres,0
11,1,1100100001,110010000100001,1100100003X,nulos,7
11,1,1100100001,110010000100001,1100100003X,recurridos,0
11,1,1100100001,110010000100001,1100100003X,blancos,3
11,1,1100100001,110010000100001,1100100003X,impugnados,0
11,1,1100100001,110010000100001,1100100003X,totalVotos,204
11,1,1100100001,110010000100001,1100100003X,afirmativos,194
11,1,1100100001,110010000100001,1100100003X,abstencion,107
11,1,1100100001,110010000100001,1100100003X,valid,197
11,1,1100100001,110010000100001,1100100003X,154-5,65
11,1,1100100001,110010000100001,1100100003X,154-1,29
11,1,1100100001,110010000100001,1100100003X,154-3,18
11,1,1100100001,110010000100001,1100100003X,154-2,4
11,1,1100100001,110010000100001,1100100003X,154-4,4
11,1,1100100001,110010000100001,1100100003X,153-1,63
11,1,1100100001,110010000100001,1100100003X,155-2,3
11,1,1100100001,110010000100001,1100100003X,155-1,2
11,1,1100100001,110010000100001,1100100003X,152-1,3
11,1,1100100001,110010000100001,1100100003X,151-1,3
11,1,1100100001,110010000100001,1100100004X,electores,222
11,1,1100100001,110010000100001,1100100004X,sobres,222
11,1,1100100001,110010000100001,1100100004X,nulos,12
11,1,1100100001,110010000100001,1100100004X,recurridos,0
11,1,1100100001,110010000100001,1100100004X,blancos,4
11,1,1100100001,110010000100001,1100100004X,impugnados,0
11,1,1100100001,110010000100001,1100100004X,totalVotos,222
11,1,1100100001,110010000100001,1100100004X,afirmativos,206
11,1,1100100001,110010000100001,1100100004X,abstencion,89
11,1,1100100001,110010000100001,1100100004X,valid,210
11,1,1100100001,110010000100001,1100100004X,154-5,79
11,1,1100100001,110010000100001,1100100004X,154-1,32
11,1,1100100001,110010000100001,1100100004X,154-3,11
11,1,1100100001,110010000100001,1100100004X,154-2,4
